"","LatDD","LonDD","Site","Coral_Diversity","X","transectID","TRANSECT.LENGTH","SpRich","Total_Diversity"
"83",16.74695,-62.23518,"MSA174",6,145,"MSA174_5",30,17,23
"84",16.74864,-62.23544,"MSA076",8,104,"MSA076_6",30,11,19
"90",16.75421,-62.23149,"MSA075",6,103,"MSA075_6",30,9,15
"94",16.75635,-62.23473,"1091",8,1,"1091_15",30,13,21
"96",16.75752,-62.2351,"164",9,31,"164_20.3",30,23,32
"99",16.75781,-62.23009,"WPT209",11,186,"WPT0209_10",30,28,39
"100",16.75827,-62.22941,"WoodlandsMOS",8,172,"Woodlands MOSA_5",30,21,29
"101",16.75827,-62.22941,"WoodlandsMOS",8,171,"Woodlands MOSA_18",30,3,11
"104",16.76049,-62.2283,"WPT169",14,33,"169_10",30,21,35
"105",16.76057,-62.22715,"MSA129",7,121,"MSA129_17",30,12,19
"106",16.76358,-62.22906,"MA171",15,143,"MSA171_15",30,14,29
"107",16.76358,-62.22906,"MSA171",5,143,"MSA171_15",30,14,19
"108",16.7637,-62.224683,"BB03",3,41,"BB03_9",30,9,12
"110",16.76494,-62.22884,"WPT168",9,32,"168_20",30,25,34
"111",16.76498,-62.15308,"1095",2,4,"1095_7.3",30,4,6
"113",16.765817,-62.223083,"BB01",5,37,"BB01_2.3",30,18,23
"114",16.765817,-62.223083,"BB01",5,38,"BB01_7",30,4,9
"115",16.76583,-62.15125,"1094",3,3,"1094_20.1",30,3,6
"116",16.76625,-62.223667,"BB02",10,40,"BB02_5",30,20,30
"117",16.76625,-62.223667,"BB02",10,39,"BB02_15",30,2,12
